Title,IMDb,imdb
Teenage Bounty Hunters,7,70
Documentary Now!,6.4,64
Special,7.6,76
JoJo's Bizarre Adventure,7.4,74
Manhunt,6.1,61
Your Lie in April,6.4,64
Code Geass: Lelouch of the Rebellion,7.3,73
Middleditch & Schwartz,7.5,75
Zoo,7.8,78
Jupiters Legacy,8.1,81
Ratched,7.3,73
Babylon Berlin,7.1,71
Better Than Us,7,70
Everything Sucks!,7.9,79
Evil Genius,6.6,66
Doctor Foster,6.9,69
Marcella,6.9,69
Survivor,6.4,64
Derek,7.5,75
Flowers,7.4,74
3%,6.8,68
Tuca & Bertie,8.2,82
Kuroko's Basketball,6.6,66
Parasyte -the maxim-,6.4,64
Last Chance U,6.9,69
Trailer Park Boys,6.9,69
Black Lightning,8,80
Chicago Med,6.1,61
How to Sell Drugs Online (Fast),7.1,71
Secret City,6.8,68
Dynasty,8.4,84
Dracula,7.4,74
Delhi Crime,6.9,69
Space Force,7,70
Pretend It's a City,7.1,71
Masters of the Universe: Revelation,7.9,79
iCarly,7.2,72
Who Killed Sara?,7,70
Sword Art Online,6.8,68
Paranormal,7.6,76
Frontier,6.8,68
The Politician,6.9,69
Raising Dion,8,80
Food Wars! Shokugeki no Soma,6.5,65
Crash Landing on You,8.5,85
Seven Seconds,7.9,79
The Great British Bake Off,6.9,69
Wizards: Tales of Arcadia,7,70
Conversations with a Killer: The Ted Bundy Tapes,7.9,79
Lenox Hill,7.1,71
Fate: The Winx Saga,6.6,66
The Circle,6.3,63
Cheer,7.8,78
Hemlock Grove,7.6,76
Transformers: War for Cybertron: Siege,7.6,76
Explained,6.5,65
Messiah,6.8,68
Sky Rojo,6.7,67
Bonding,7.1,71
I'm Sorry,7.7,77
Katla,7.3,73
It's Okay to Not Be Okay,6.9,69
Forensic Files,7.3,73
Workin' Moms,6.9,69
The Toys That Made Us,6.9,69
The Devil Next Door,7.6,76
Kipo and the Age of Wonderbeasts,6.4,64
"Roswell, New Mexico",6.3,63
Night Stalker: The Hunt For a Serial Killer,7.7,77
Glitch,7.7,77
Great Pretender,7.6,76
InuYasha,7.6,76
In the Dark,7.6,76
GHOUL,7.6,76
Nailed It!,7.3,73
Voltron: Legendary Defender,6.3,63
Trollhunters: Tales of Arcadia,6.4,64
Sweet Magnolias,7.1,71
Medici: Masters of Florence,6.3,63
The Innocent,7.8,78
Aggretsuko,6.6,66
Jurassic World: Camp Cretaceous,8.5,85
Rake,6.4,64
The Serpent,6.8,68
The Gift,7.8,78
Violet Evergarden,7,70
3Below: Tales of Arcadia,7.7,77
Jeffrey Epstein: Filthy Rich,7.8,78
Dawson's Creek,7,70
Private Practice,7.5,75
Beauty and the Beast,6.5,65
Daybreak,7.1,71
Easy,6.4,64
Behind Her Eyes,6.9,69
Collateral,6.8,68
Knightfall,7.6,76
The Confession Killer,7.5,75
Sophie: A Murder In West Cork,6.4,64
Call My Agent!,7.4,74
My Little Pony: Friendship Is Magic,7.2,72
Leah Remini: Scientology and the Aftermath,6.6,66
Containment,7.3,73
Z Nation,7.2,72
Emily in Paris,7.5,75
Victorious,7.6,76
Scream: The TV Series,7.6,76
Akame ga Kill!,6.2,62
Warrior Nun,8.2,82
Bad Blood,6.3,63
Young & Hungry,6.5,65
Caliphate,8.2,82
'Allo 'Allo!,6.6,66
Good Witch,6.9,69
Gilmore Girls: A Year in the Life,6.3,63
Aquarius,6.3,63
Firefly Lane,7.4,74
White Gold,6.6,66
Hyperdrive,6.8,68
Reply 1988,6.7,67
Ninjago: Masters of Spinjitzu,7.2,72
Spotless,7.3,73
Devilman: Crybaby,7,70
BEASTARS,6.7,67
Kill la Kill,6.9,69
Down to Earth with Zac Efron,7.8,78
Ancient Aliens,7.3,73
Slasher,6.9,69
Ray,6.8,68
Time: The Kalief Browder Story,7.4,74
Away,7.2,72
No Tomorrow,7.4,74
Locked Up,7.4,74
The Frankenstein Chronicles,6.5,65
The Ranch,6.2,62
Cursed,7.2,72
Wu Assassins,7.5,75
Mr. Sunshine,6.8,68
The Unicorn,7.2,72
Anohana: The Flower We Saw That Day,6.9,69
Alice in Borderland,7.5,75
The Challenge,7.5,75
Gypsy,6.9,69
Fuller House,8.1,81
How to Become a Tyrant,7.6,76
Killer Inside: The Mind of Aaron Hernandez,7.1,71
RESIDENT EVIL: Infinite Darkness,7.2,72
1983,7.8,78
Wet Hot American Summer: First Day of Camp,6.3,63
The Baker and the Beauty,6.6,66
Spinning Out,6.7,67
Trinkets,6.8,68
Insatiable,6.9,69
The Chalet,6.3,63
We Bare Bears,6.3,63
Gurren Lagann,6.6,66
Friends from College,7.6,76
Jericho,6.4,64
Tidelands,6.9,69
Dear White People,7.4,74
Dare Me,7.2,72
Ouran High School Host Club,7.2,72
Scooby-Doo! Mystery Incorporated,7.7,77
The Untamed,6.2,62
Stranger,7.3,73
El Chapo,7.1,71
Great News,7,70
The Get Down,6.8,68
The Naked Director,7.3,73
Rise of Empires: Ottoman,7.4,74
Club de Cuervos,6.3,63
My Mister,6.4,64
Toradora!,7.5,75
The Baby-Sitters Club,7.4,74
Carole & Tuesday,6.2,62
Van Helsing,7.2,72
Vincenzo,6.1,61
The Night Shift,7.3,73
"Pablo Escobar, The Drug Lord",7,70
No Game No Life,5.6,56
The King: Eternal Monarch,6.9,69
Eden,7.2,72
Stateless,6.5,65
High Score,6.3,63
Hospital Playlist,7.4,74
Dash & Lily,6.9,69
The Confession Tapes,6.7,67
Black Butler,6.9,69
The Rain,6.6,66
Love Is Blind,7.5,75
Trial by Media,6.6,66
Wormwood,6.4,64
Fear City: New York vs The Mafia,7,70
Sorjonen,7.4,74
Crashing,7.6,76
Forged in Fire,6.6,66
Baby,5.9,59
Sweet Home,7.4,74
The Disastrous Life of Saiki K.,7.4,74
The Innocence Files,6.7,67
BNA,6.7,67
The Mist,7.6,76
Halston,7.5,75
Shaun the Sheep,7.7,77
The Universe,7.6,76
Self Made: Inspired by the Life of Madam C.J. Walker,6.1,61
Shtisel,7,70
The Boss Baby: Back in Business,7,70
Puella Magi Madoka Magica,6.2,62
Masameer County,6.4,64
Sinatra: All or Nothing at All,6.4,64
Comedians in Cars Getting Coffee,6.9,69
Senora Acero,6.7,67
Dark Tourist,6.4,64
Criminal: UK,7.4,74
Heist,7.6,76
The Bureau of Magical Things,7.9,79
Cleverman,6.2,62
The Innocent Man,7.4,74
Norsemen,6.2,62
Word of Honor,7,70
Pawn Stars,6.2,62
Inside Bill's Brain: Decoding Bill Gates,6.8,68
Damnation,6.2,62
From Dusk Till Dawn: The Series,6.4,64
Lovesick,6.3,63
Flint Town,6.1,61
Watership Down,6.6,66
Undercover,7.5,75
Rita,7,70
Dorohedoro,7.6,76
Maid Sama!,7,70
Mystery Science Theater 3000: The Return,6.5,65
Is It Wrong to Try to Pick Up Girls in a Dungeon?,5.8,58
Surviving R. Kelly,7,70
Saint Seiya,6.4,64
Flaked,6.5,65
Fate/Zero,6.6,66
Crazyhead,6.4,64
The Five,6.5,65
Signal,6.9,69
H2O: Just Add Water,7,70
Requiem,6.2,62
The Valhalla Murders,6.5,65
Cardcaptor Sakura,8,80
Black Earth Rising,6.3,63
W/ Bob & David,7,70
The Trials of Gabriel Fernandez,7.7,77
She's Gotta Have It,6.5,65
Save Me,6.2,62
Giri/Haji,7.1,71
The Curse of Oak Island,7,70
Black,6.9,69
Losers,6.5,65
Ajin,7.6,76
Ink Master,6.6,66
The Innocents,7.2,72
Goosebumps,7.4,74
Vampire Knight,6.9,69
Angel Beats!,6.7,67
Green Eggs and Ham,6.1,61
The Hollow,7.2,72
Dogs,6.7,67
November 13: Attack on Paris,6.4,64
It's Bruno!,7.7,77
Wanted,6.5,65
Masum,7.8,78
Cable Girls,6.7,67
Lady Dynamite,7.6,76
Power Rangers,6.5,65
The Mire,6.5,65
Tabula Rasa,6.9,69
Ethos,7,70
Clannad,7,70
Ugly Delicious,5.8,58
Generation 56k,8.1,81
Fate/stay night [Unlimited Blade Works],5.9,59
Man with a Plan,7.2,72
Rilakkuma and Kaoru,6.4,64
World War II In HD Colour,6.3,63
Boys Over Flowers,5.8,58
Meteor Garden,6.5,65
"What's New, Scooby-Doo?",6.5,65
The Letdown,7.7,77
Sick Note,6.6,66
Big Time Rush,6.2,62
Girlboss,6.7,67
Quicksand,6.8,68
Rotten,7.8,78
The Irregulars,6,60
The Mantis,6.8,68
College Romance,6.8,68
Elite Short Stories: Carla Samuel,6.5,65
Bard of Blood,7.4,74
Charmed,7.5,75
The New Legends of Monkey,7,70
Nevertheless,6.4,64
"The Mind, Explained",7.1,71
Fast & Furious Spy Racers,6.7,67
Itaewon Class,6.9,69
Occupied,6.2,62
The Magic School Bus,6.6,66
Toast of London,6.5,65
Patriot Act with Hasan Minhaj,6.3,63
Greatest Events of World War II in Colour,6,60
Offspring,5.9,59
Blown Away,8,80
60 Days In,7.4,74
Trese,6.7,67
Move to Heaven,7.5,75
Hot Girls Wanted: Turned On,5.8,58
The Heirs,6.5,65
The Curious Creations of Christine McConnell,7.2,72
Alexa & Katie,6,60
Sailor Moon Crystal,7.4,74
Blood of Zeus,7.2,72
La Reina del Sur,7.3,73
Barbarians,7.3,73
Pine Gap,7,70
To the Lake,6.5,65
Suburra: Blood on Rome,6.4,64
Taco Chronicles,6.4,64
She,7.1,71
Between,6.4,64
Velvet,6.5,65
Bobby Kennedy for President,6,60
Durarara!!,6.3,63
Yu-Gi-Oh!,6.3,63
Hostages,6.6,66
Rhythm + Flow,7.1,71
Blue Exorcist,7.3,73
L.A.'s Finest,6.4,64
Vagabond,6.3,63
Thomas & Friends,6.2,62
The Protector,8.2,82
Unsolved Mysteries,6.1,61
